Date,Open,High,Low,Close,Volume,Market Cap
"Jul 07, 2020",9349.16,9360.62,9201.82,9252.28,13839652595,170485472276
"Jul 06, 2020",9072.85,9375.47,9058.66,9375.47,17889263252,172746103840
"Jul 05, 2020",9126.09,9162.18,8977.02,9073.94,12903406143,167181726154
"Jul 04, 2020",9084.23,9183.30,9053.63,9132.49,12290528515,168251076678
"Jul 03, 2020",9124.84,9202.34,9058.79,9087.30,13078970999,167409720388
"Jul 02, 2020",9231.14,9274.96,9036.62,9123.41,16338916796,168065586387
"Jul 01, 2020",9145.99,9309.75,9104.73,9228.33,15971550355,169988756578
"Jun 30, 2020",9185.58,9217.84,9084.84,9137.99,15735797744,168315606321
"Jun 29, 2020",9140.03,9237.57,9041.88,9190.85,16460547078,169280659246
"Jun 28, 2020",9048.46,9197.55,8975.53,9143.58,14560870760,168401806137
"Jun 27, 2020",9167.82,9207.81,8998.22,9045.39,17273093144,166584831506
"Jun 26, 2020",9260.99,9310.52,9101.74,9162.92,18341465837,168741367622
"Jun 25, 2020",9314.13,9340.16,9095.32,9264.81,18616048626,170608289504
"Jun 24, 2020",9632.15,9680.37,9278.23,9313.61,18961716076,171498781280
"Jun 23, 2020",9644.08,9670.54,9547.25,9629.66,17006433272,177310052079
"Jun 22, 2020",9300.92,9655.07,9296.87,9648.72,21104009514,177651397437
"Jun 21, 2020",9330.93,9401.11,9300.43,9303.63,15324301169,171289415079
"Jun 20, 2020",9290.96,9394.97,9247.38,9332.34,17130541557,171809438651
"Jun 19, 2020",9410.29,9440.88,9274.30,9288.02,19632223107,170985625732
"Jun 18, 2020",9481.57,9482.78,9328.40,9411.84,17770083003,173256688664
"Jun 17, 2020",9533.78,9540.42,9327.34,9480.26,20177709879,174508805561
"Jun 16, 2020",9454.27,9579.43,9400.45,9538.02,21565537209,175563963385
"Jun 15, 2020",9386.04,9504.86,8990.18,9450.70,26699704768,173947607772
"Jun 14, 2020",9477.55,9482.27,9347.59,9386.79,18991732746,172763239787
"Jun 13, 2020",9480.74,9493.21,9396.01,9475.28,17564322315,174381819725
